nohup: ignoring input
('==== Found maximium gradient [0.18926477, 0.18926477, 0.18926477, '
 '0.18926477, 0.18926477] of gate e^[X0 Y1], RY[1], e^[X14 Y1], e^[X6 Y1], '
 'e^[X5 Y1] ====')
learning rate =  0.03785295407867074
0.05972389433068627 0.17714886732512408 0.5227162837982178
0.05331335205971607 0.16468111920771447 0.4108946621417999
0.047573751821063645 0.15533496853977688 0.4656180143356323
0.04150566058164436 0.145760867701136 0.20000407099723816
0.04396151511467454 0.15054276672149697 0.26055359840393066
0.046428115569454836 0.15496896944027166 0.3911665081977844
0.04377085386315625 0.15052421557147846 0.3274361193180084
0.040909920519715134 0.145199603868158 0.1526159644126892
0.04175671473549684 0.14606497283612146 0.19364424049854279
0.043467960901108056 0.14865859193052589 0.302110880613327
0.04240517551362585 0.1470353427060567 0.28293052315711975
0.03983728560621142 0.14317137978132738 0.1566380262374878
0.03884014569178956 0.14209422514697956 0.09230699390172958
0.03975201047588332 0.144150605156457 0.20924368500709534
0.04028518460923653 0.14513772699093325 0.2443217635154724
0.03948401737535122 0.14345868897642358 0.1813993901014328
0.03872832115780169 0.1416713839397181 0.07606029510498047
0.03919954768238977 0.14208148183545052 0.12690787017345428
0.04009648684344089 0.14341558272265056 0.19433432817459106
0.040060142369910755 0.1433366134935859 0.18221211433410645
0.039172384974660246 0.14195115317768367 0.10546291619539261
0.03850273209611088 0.14104800312666266 0.06642519682645798
0.03846361216396938 0.14125076877217335 0.13220436871051788
0.038518554868785845 0.14147946070962572 0.15193307399749756
0.03836827781745065 0.14113739897390493 0.10816583782434464
0.038372697497575284 0.1409115394400973 0.053992945700883865
0.03871535636856571 0.14126853987441435 0.09781787544488907
0.03893944884203999 0.14154443767248376 0.13173341751098633
0.0386668318207116 0.14113009406390598 0.10995826125144958
0.038203678781911214 0.1405055034771022 0.05008586868643761
0.038026711409897634 0.1403982066677711 0.05578148365020752
0.03809286521298841 0.14062093311755852 0.09767423570156097
0.03808769868923355 0.1405711090323768 0.09386926889419556
0.038028673954146205 0.14031600232767782 0.05066109076142311
0.03813816690785207 0.14033521630622547 0.0427163690328598
0.038332943092475105 0.14056597991102743 0.08036743849515915
0.03831375020511991 0.14052644615858656 0.08316464722156525
0.038074749988011504 0.14020424120979885 0.048015255481004715
0.03789455642224594 0.1400409316117065 0.026321791112422943
0.037880149655124595 0.14014881022412365 0.060281019657850266
0.037882621506984626 0.1401916888705644 0.06677898019552231
0.03784895435886145 0.14006420142669004 0.04064171388745308
0.037884013665248815 0.13999955049958893 0.025558872148394585
0.03798206588228088 0.1400649222635925 0.05176711082458496
0.03799903582708474 0.14005844358706693 0.05566149577498436
0.037914235686169924 0.1399488162831626 0.03261098638176918
0.03784808253246527 0.13990674748662985 0.022844254970550537
0.03783894422631662 0.13994686759962643 0.044042494148015976
0.037819556889033525 0.13991245820438367 0.044081903994083405
0.03779606447466327 0.13982178058742648 0.021695345640182495
0.03782435381544022 0.13981081767107004 0.019925318658351898
0.037865088665329685 0.1398548113763977 0.03793422505259514
0.0378368933506501 0.13983103522907575 0.03472571447491646
0.03776550010349696 0.13977296675088727 0.01628076285123825
0.03772580569355523 0.13977149306062403 0.022216424345970154
0.03771711350362388 0.13978075262814135 0.0326215960085392
